k,d_med_m,delta_d,rel_delta,diff_to_500,abs_diff_500,ratio_to_500
110,829.8845340708126,5.684315677247696,0.006896765555737,329.8845340708126,329.8845340708126,1.6597690681416253
111,835.1335222585667,5.248988187754094,0.0063249620546684,335.1335222585667,335.1335222585667,1.6702670445171337
112,840.549341552193,5.415819293626328,0.0064849741380032,340.549341552193,340.549341552193,1.681098683104386
113,845.7245414436074,5.175199891414422,0.0061569257574548,345.72454144360745,345.72454144360745,1.6914490828872148
114,850.9461023288296,5.221560885222175,0.006174068067493,350.9461023288296,350.9461023288296,1.7018922046576592
115,856.047311776633,5.101209447803399,0.0059947503535683,356.047311776633,356.047311776633,1.712094623553266
116,861.565362225482,5.518050448848953,0.0064459643444202,361.565362225482,361.565362225482,1.723130724450964
117,867.000576701077,5.435214475594989,0.0063085341100011,367.00057670107697,367.00057670107697,1.734001153402154
118,872.7173979817121,5.716821280635145,0.0065937917854536,372.7173979817121,372.7173979817121,1.7454347959634242
119,878.203848773165,5.486450791452853,0.0062866293305726,378.20384877316496,378.20384877316496,1.75640769754633
120,884.3601403466425,6.156291573477574,0.0070100940482984,384.36014034664254,384.36014034664254,1.7687202806932851
121,890.0724689596909,5.712328613048385,0.0064592786947739,390.0724689596909,390.0724689596909,1.780144937919382
122,896.1067873730265,6.034318413335541,0.0067795810159013,396.10678737302646,396.10678737302646,1.792213574746053
123,901.892454786046,5.785667413019496,0.0064564486002616,401.892454786046,401.892454786046,1.803784909572092
124,907.5732471244428,5.680792338396941,0.0062987469384524,407.5732471244429,407.5732471244429,1.8151464942488855
125,913.0366914861636,5.463444361720804,0.0060198384857984,413.0366914861637,413.0366914861637,1.8260733829723277
126,918.5808865141958,5.54419502803205,0.0060722587380444,418.58088651419575,418.58088651419575,1.837161773028392
127,924.0048701170356,5.42398360283994,0.005904742502778,424.0048701170357,424.0048701170357,1.8480097402340716
128,929.4273676374864,5.422497520450747,0.0058684728791136,429.4273676374864,429.4273676374864,1.858854735274973
129,934.812280621088,5.38491298360168,0.0057937964504849,434.8122806210881,434.8122806210881,1.869624561242176
130,940.3030123681784,5.490731747090194,0.0058736196142418,440.3030123681783,440.3030123681783,1.8806060247363567
131,945.7378072172012,5.434794849022865,0.0057798334978585,445.7378072172012,445.7378072172012,1.8914756144344025
132,951.233955754844,5.496148537642739,0.0058114928849201,451.2339557548439,451.2339557548439,1.902467911509688
133,956.5484828277132,5.314527072869282,0.0055869820885987,456.5484828277132,456.5484828277132,1.9130969656554264
134,961.6103198871936,5.061837059480354,0.0052917726078209,461.6103198871936,461.6103198871936,1.9232206397743872
135,966.4057119036496,4.795392016456162,0.0049868350175554,466.4057119036497,466.4057119036497,1.9328114238072995
136,970.5301963112464,4.12448440759681,0.0042678601303714,470.5301963112465,470.5301963112465,1.941060392622493
137,974.5532309730444,4.023034661797851,0.004145192676218,474.5532309730444,474.5532309730444,1.9491064619460887
138,977.6469958787022,3.0937649056578493,0.0031745468665358,477.6469958787022,477.6469958787022,1.9552939917574044
139,980.948520565682,3.301524686979633,0.0033770110284154,480.94852056568186,480.94852056568186,1.961897041131364
140,983.2469096407852,2.298389075103273,0.0023430272098049,483.24690964078513,483.24690964078513,1.9664938192815704
141,985.933060608072,2.686150967286721,0.0027319190540533,485.9330606080719,485.9330606080719,1.971866121216144
142,987.8425094044104,1.9094487963386653,0.0019366921271115,487.8425094044105,487.8425094044105,1.975685018808821
143,990.032322704668,2.1898133002575837,0.0022167635826664,490.0323227046681,490.0323227046681,1.980064645409336
144,991.7591358626048,1.72681315793659,0.0017441987683989,491.7591358626047,491.7591358626047,1.9835182717252091
145,993.6422897602536,1.883153897648981,0.0018988016641874,493.6422897602537,493.6422897602537,1.9872845795205076
146,995.2482093944756,1.605919634221891,0.0016161949332987,495.2482093944756,495.2482093944756,1.9904964187889511
147,996.9924774039172,1.7442680094414982,0.0017525959785476,496.99247740391706,496.99247740391706,1.993984954807834
148,998.4672507400036,1.4747733360864004,0.0014792221300672,498.46725074000346,498.46725074000346,1.9969345014800068
149,1000.0464989189252,1.57924817892183,0.0015816724862546,500.0464989189253,500.0464989189253,2.0000929978378506
150,1001.5366754480704,1.4901765291451738,0.0014901072407693,501.53667544807047,501.53667544807047,2.003073350896141
151,1003.0498492098984,1.513173761827943,0.0015108520725424,503.0498492098984,503.0498492098984,2.006099698419797
152,1004.5060457078728,1.456196497974361,0.0014517688219796,504.5060457078728,504.5060457078728,2.009012091415745
153,1006.0079522548516,1.501906546978944,0.0014951692460153,506.0079522548517,506.0079522548517,2.0120159045097035
154,1007.3964969684478,1.3885447135960476,0.0013802522241337,507.39649696844776,507.39649696844776,2.014792993936896
155,1008.8617348279198,1.4652378594720403,0.001454479804011,508.8617348279198,508.8617348279198,2.01772346965584
156,1010.207848672096,1.3461138441763296,0.0013342897224721,510.2078486720961,510.2078486720961,2.0204156973441925
157,1011.5819294550492,1.3740807829530013,0.001360196106929,511.58192945504913,511.58192945504913,2.0231638589100984
158,1012.9602678546842,1.3783383996350267,0.0013625573564541,512.9602678546842,512.9602678546842,2.025920535709368
159,1014.305673847879,1.345405993194845,0.0013281922656692,514.305673847879,514.305673847879,2.028611347695758
160,1015.6979420849192,1.392268237040298,0.001372631813996,515.6979420849193,515.6979420849193,2.0313958841698385
161,1017.0644030738664,1.366460988946983,0.0013453418898753,517.0644030738663,517.0644030738663,2.0341288061477325
162,1018.448653267946,1.384250194079641,0.0013610251129584,518.4486532679459,518.4486532679459,2.036897306535892
163,1019.8431251913208,1.3944719233749083,0.0013692118094519,519.8431251913208,519.8431251913208,2.039686250382642
164,1021.2268094153816,1.3836842240608576,0.0013567618292286,521.2268094153817,521.2268094153817,2.042453618830764
165,1022.6284760361408,1.4016666207592152,0.0013725321425527,522.6284760361409,522.6284760361409,2.0452569520722816
166,1024.0801246755152,1.451648639374298,0.0014195269087372,524.0801246755152,524.0801246755152,2.0481602493510302
167,1025.5067040248932,1.4265793493780166,0.0013930348954189,525.5067040248932,525.5067040248932,2.0510134080497866
168,1027.0043535881937,1.497649563300456,0.0014603995833693,527.0043535881937,527.0043535881937,2.0540087071763877
169,1028.4711955130294,1.4668419248357625,0.0014282723531899,528.4711955130294,528.4711955130294,2.056942391026059
170,1030.032688512509,1.561492999479242,0.0015182661471625,530.0326885125087,530.0326885125087,2.060065377025017
171,1031.5599837139864,1.5272952014777277,0.0014827638176059,531.5599837139864,531.5599837139864,2.0631199674279728
172,1033.1762520097204,1.6162682957340166,0.0015668194978976,533.1762520097204,533.1762520097204,2.066352504019441
173,1034.7835522465557,1.6073002368350444,0.0015556883287905,534.7835522465555,534.7835522465555,2.0695671044931108
174,1036.4598266678831,1.676274421327662,0.001619927585521,536.4598266678831,536.4598266678831,2.072919653335766
175,1038.0871832365526,1.6273565686694835,0.0015701106080505,538.0871832365526,538.0871832365526,2.076174366473105
176,1039.8602264397382,1.7730432031855798,0.0017079906503205,539.8602264397382,539.8602264397382,2.0797204528794766
177,1041.5800497321366,1.7198232923983596,0.0016538985227723,541.5800497321366,541.5800497321366,2.083160099464273
178,1043.3911148487134,1.811065116576856,0.0017387670943223,543.3911148487134,543.3911148487134,2.0867822296974268
179,1045.1435308128737,1.7524159641602637,0.0016795388989049,545.1435308128737,545.1435308128737,2.090287061625747
180,1047.0281900824014,1.884659269527674,0.0018032540162802,547.0281900824014,547.0281900824014,2.094056380164803
181,1048.894656292995,1.8664662105936716,0.0017826322426397,548.894656292995,548.894656292995,2.09778931258599
182,1050.788605654995,1.8939493620000576,0.0018056621326431,550.7886056549951,550.7886056549951,2.10157721130999
183,1052.722660533153,1.9340548781578943,0.0018405746576899,552.722660533153,552.722660533153,2.105445321066306
184,1054.6785038802343,1.955843347081327,0.0018578904211017,554.6785038802343,554.6785038802343,2.1093570077604684
185,1056.6006814307857,1.922177550551169,0.001822524630472,556.6006814307855,556.6006814307855,2.113201362861571
186,1058.6335826805116,2.0329012497261374,0.0019240014562297,558.6335826805116,558.6335826805116,2.117267165361023
187,1060.6281157879985,1.994533107486859,0.0018840637026048,560.6281157879985,560.6281157879985,2.121256231575997
188,1062.7090030885831,2.0808873005846635,0.0019619386565466,562.7090030885831,562.7090030885831,2.125418006177166
189,1064.7652323399743,2.0562292513914144,0.0019348939788929,564.7652323399745,564.7652323399745,2.129530464679949
190,1066.8752456232492,2.1100132832746112,0.0019816699674139,566.8752456232492,566.8752456232492,2.133750491246498
191,1068.9667908779954,2.091545254746279,0.0019604403263892,568.9667908779954,568.9667908779954,2.137933581755991
192,1071.0989325936089,2.132141715613443,0.0019945818090964,571.0989325936089,571.0989325936089,2.1421978651872178
193,1073.1751953898302,2.076262796221272,0.0019384416630812,573.1751953898302,573.1751953898302,2.14635039077966
194,1075.4316047118505,2.2564093220203176,0.0021025544866424,575.4316047118505,575.4316047118505,2.150863209423701
195,1077.5908314383526,2.159226726502084,0.0020077768935204,577.5908314383526,577.5908314383526,2.1551816628767053
196,1079.8180146460054,2.2271832076528426,0.0020668171468014,579.8180146460054,579.8180146460054,2.159636029292011
197,1082.0115526185475,2.193537972542117,0.0020313959785725,582.0115526185475,582.0115526185475,2.164023105237095
198,1084.2695727947337,2.2580201761861645,0.0020868725206506,584.2695727947337,584.2695727947337,2.168539145589467
199,1086.4442001317875,2.174627337054062,0.0020056150164288,586.4442001317877,586.4442001317877,2.1728884002635755
200,1088.7739178592774,2.3297177274896512,0.0021443510188623,588.7739178592774,588.7739178592774,2.177547835718555
