Quality Assurance of Geometric Corrections for the AST_L1T Product

This file contains two sections:
   * A section listing the GLS 2000 Ground Control Points (GCPs)
     that were used in correcting the geometric location of the pixels
     in order to create this AST_L1T product
   * A section that does an independent geometric verification of the corrected
     pixels by comparing the AST_L1T data to a GLS 2000 Standard Scene.

Section One:

'Precision' correction was not achieved.

Section Two:

==============================================================================
==============================================================================
Sun. May. 10 2015                  TERRA_ASTER                       Time: 19:00
                                 ASTER L1T PGE
                            GEOMETRIC VERIFY Report
==============================================================================
WRS-2: Path/Row 228/64
Reference Image: GLS 2000 (p228r064_7dt20001006_z21_50.tif)

Pixel dimensions: 30 x 30 meters
Pointing angle:  -5.729 degrees

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 --  0.0%
Rank   2 -- 69.2%
Rank   3 -- 30.8%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280644613   -6.19112    -55.93100    -0.07     -0.95     0.95     2 
2280644681   -6.19993    -55.99931    -0.36     -1.08     1.14     3 
----------------------------------------------------------------------
---------------------------------------------------
Total correlated GCPs in Upper Left Quadrant: 179

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: 0.119
  Median: 0.155
  Standard Deviation: 0.175

Sample residual statistics:
  Mean: -0.913
  Median: -0.921
  Standard Deviation: 0.073

Quadrant RMSE: 0.941

---------------------------------------------------
Total correlated GCPs in Upper Right Quadrant: 72

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.257
  Median: -0.350
  Standard Deviation: 0.246

Sample residual statistics:
  Mean: -0.940
  Median: -0.945
  Standard Deviation: 0.111

Quadrant RMSE: 1.011

---------------------------------------------------
Total correlated GCPs in Lower Left Quadrant: 12

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.172
  Median: -0.059
  Standard Deviation: 0.309

Sample residual statistics:
  Mean: -0.848
  Median: -0.955
  Standard Deviation: 0.294

Quadrant RMSE: 0.965

---------------------------------------------------
Total correlated GCPs in Lower Right Quadrant: 42

GCP statistics this quadrant only (in Pixels)
Line residual statistics:
  Mean: -0.285
  Median: -0.322
  Standard Deviation: 0.204

Sample residual statistics:
  Mean: -0.976
  Median: -0.994
  Standard Deviation: 0.088

Quadrant RMSE: 1.041

---------------------------------------------------
---------------------------------------------------
Total correlated GCPs in scene: 305

GCP statistics entire scene (in Pixels)
Line residual statistics:
  Mean: -0.037
  Median: 0.041
  Standard Deviation: 0.277

Sample residual statistics:
  Mean: -0.926
  Median: -0.931
  Standard Deviation: 0.106

Scene RMSE: 0.973

